标题,区名,小区/位置,几室几厅,面积,朝向,楼层,年份
电梯小两房养老自住皆宜万达绿地双商圈,金山,绿地玲珑寓,2室1厅,65.89平米,南,中楼层(共14层),2010年建
品质小区+电梯商品小两房+低总价精选+近万达,金山,御景龙庭,2室1厅,61.42平米,南,中楼层(共18层),2013年建
张江科学城内双子塔脚下总价低单价低小两房,张江,春港丽园(公寓),2室1厅,58.09平米,南,中楼层(共6层),2001年建
滴水湖叠加别墅业主诚心出售价格可谈精装保养,临港新城,绿地东岸涟城,5室3厅,196.33平米,南,低楼层(共3层),2009年建
欧风家园三房动迁房东置换诚心出售,周浦,欧风家园,3室1厅,94.77平米,南,低楼层(共12层),板楼
三开间朝南，通风采光好，带大花园,惠南,听潮六村,2室2厅,91.3平米,南,低楼层(共6层),1995年建
附带产权车位，业主自住精装修，视野好，诚心出售,奉贤金汇,禹洲雍贤府,3室1厅,84.06平米,南,高楼层(共16层),板楼
边套全明大两房，采光充足，配套设施齐全，交通便利,田林,田林十三村,2室1厅,51.29平米,南北,中楼层(共6层),1986年建
银龙小区小区第二排位置好，中间楼层，满五年税费少,川沙,银龙小区,3室1厅,85.43平米,南北,中楼层(共6层),1995年建
首付13万！户型方正！自住养老好选择！,金山,滨海二村,2室1厅,51.65平米,南,高楼层(共6层),1986年建
满五税少楼层视野采光棒交通便利,金山,万达华府,2室2厅,88.49平米,南北,高楼层(共33层),2015年建
一手买进，满五唯一税费少，得房率高，绿化好品质高,光新,香溢花城(住宅),2室2厅,103.13平米,南,中楼层(共28层),2009年建
康外旁近地铁精装修双南两房环境优美交通便利,康健,杜鹃园,2室1厅,66.44平米,南,中楼层(共6层),1990年建
无比接地楼层，装修小两房，产权清晰，诚心置换,闵浦,水语人家北苑,1室1厅,62.14平米,南,低楼层(共11层),2009年建
内环内＋满5＋飞机户型大三房＋边套全明＋花园洋房,不夜城,和泰花园,3室2厅,140.18平米,南北,低楼层(共20层),1999年建
上下两层，楼下四室，楼上两室，有露台和阳光房,丰庄,汇丰佳苑,6室3厅,191.38平米,南北,高楼层(共6层),2004年建
有地铁、户型方正、采光好、得房率高、位置好,古美,华梅花苑,3室1厅,99.66平米,南,高楼层(共6层),1995年建
陆家嘴黄浦江畔+京城大厦精装3房+看房方便,陆家嘴,京城大厦,3室2厅,125.19平米,南,中楼层(共28层),2002年建
芝巷小区2室2厅南,长风,芝巷小区,2室2厅,71.45平米,南,低楼层(共6层),1994年建
地铁800米，交通便利，沿河景观，南北通透，税费少,闵浦,欣佳宝邸,2室2厅,78.96平米,南北,低楼层(共14层),2011年建
张江科学城双子塔两房朝南，13号线张江路，高区采光好,张江,益丰新村,2室1厅,75.93平米,南,高楼层(共6层),1995年建
万达旁方正户型，三房两厅两卫，采光充足，视野开阔。,金山,绿地金山名邸,3室1厅,103.2平米,南北,中楼层(共11层),2013年建
诚意出售+中间楼层+精装修+一手动迁,张江,申城佳苑三期,2室1厅,91.23平米,南,中楼层(共18层),2018年建
16号线新场站，s3沪奉高速，14年花园小区，海底捞，,新场,汇锦城三期,2室1厅,88.13平米,南,低楼层(共16层),2014年建
税费少楼层好户型方正诚意出售随时可看,唐镇,保利金爵公寓,2室1厅,89.87平米,南,高楼层(共13层),2009年建
近地铁、厨卫朝北、边套户型、采光好、拎包入住,南桥,江海新村,2室2厅,93.78平米,南,高楼层(共6层),1994年建
七村稀有大两房中间楼层价格便宜售后公房无-税,龙柏,龙柏七村,2室2厅,76.29平米,南,低楼层(共6层),1995年建
一楼带院子、房型好、南北两房、税费少、采光好,万体馆,凯翔小区,2室1厅,55.53平米,南,低楼层(共6层),1990年建
此房满五，精装，带天井，位于小区中间位置，出入方便,七宝,园艺新村,3室1厅,68.21平米,南北,低楼层(共6层),1995年建
张江南，电梯中楼层大两房，诚意出售,康桥,海尚康庭,2室1厅,79.63平米,南,中楼层(共14层),2008年建
标题,区名,小区/位置,几室几厅,面积,朝向,楼层,年份
近地铁13和14+商品房+满5+全明通透,丰庄,丽景新苑,2室1厅,75.18平米,南,高楼层(共7层),1999年建
近地铁，看花园，摇新房，两房朝南且南北通风，诚意售,中远两湾城,中远两湾城,2室1厅,105.95平米,东南南,低楼层(共32层),2006年建
内环内地铁口动静分离两南两北厅南北通户型保养好,武宁,锦绿新城,4室2厅,147.2平米,南北,中楼层(共7层),1999年建
83%得房率中环内8楼洋房南北通好改三房单价低,真如,星河世纪城,2室2厅,105.82平米,南北,低楼层(共8层),2009年建
急售+次新房+中央空调+地暖+正看小区花园+户型正气,西藏北路,新湖青蓝国际,4室2厅,171.67平米,南,低楼层(共20层),板楼
房型一南一北，交通便利，通风好，采光好,川沙,妙栏小区,2室1厅,73.31平米,南,高楼层(共6层),1994年建
此房税少户型方正，地铁14号线，产权清晰,真光,清涧七街坊,2室1厅,61.6平米,东南,中楼层(共6层),1995年建
满五年唯，双南户型格局，楼层高视野宽阔三开间朝南,颛桥,爱庐世纪新苑,2室2厅,85.48平米,南,中楼层(共17层),2007年建
交通方便，边套全明，户型方正，楼层佳,鞍山,鞍山八村,1室0厅,35.23平米,南,低楼层(共6层),1981年建
真边套采光好，动迁房，税费少，房龄新，电梯房,罗店,美罗家园宝欣苑七村,2室1厅,69.59平米,南北,高楼层(共18层),2014年建
楼层好，位置好，采光好，沿河景观房，房东诚心出售。,闵浦,虹浦新城南区,2室1厅,76.46平米,南北,高楼层(共9层),2008年建
房子税费少近地铁500米采光无遮挡钥匙房！诚心卖！,真光,阳光威尼斯(三期),2室2厅,91.15平米,南西,低楼层(共26层),2006年建
地铁已开，自住出租皆合适！满五税少,丰庄,栅桥小区,2室1厅,68.03平米,南北,高楼层(共6层),1996年建
低楼层，楼间距大采光不影响，购房成本低有垫高,黄兴公园,松花一村,2室0厅,44.9平米,南,低楼层(共6层),1979年建
好楼层+三开间朝南+品质小区+安全保障+诚心出售,老闵行,富仕名邸,3室2厅,121.36平米,南北,中楼层(共6层),2001年建
保德路241弄2室1厅南,彭浦,保德路241弄,2室1厅,56.05平米,南,低楼层(共6层),1994年建
可拎包入住，前排无遮挡，采光好,顾村,东方帕堤欧,2室2厅,87.61平米,南北,低楼层(共14层),2010年建
地铁13、14号线，商品房，有钥匙，满5，拎包入住,丰庄,丽景新苑,2室2厅,75.06平米,南北,高楼层(共7层),1999年建
便宜税费少久光旁地铁口三开间朝南高区视野好,大宁,慧芝湖花园,2室2厅,93.65平米,南,高楼层(共25层),2012年建
云天下叠复式968万包税费+清水房类一手房+七宝鑫都,颛桥,鑫都城云天绿洲,4室2厅,149.29平米,南,低楼层(共4层),2009年建
低单价低总价1999年竣工近哥伦比亚公园华山绿地,新华路,番禺大厦,4室2厅,163.61平米,西,高楼层(共29层),1999年建
