标题,区名,小区/位置,square,price
整租·明日新苑2室2厅南/北,嘉定,丰庄,75.02㎡,6600
整租·万航渡路433弄2室1厅南/北,静安,曹家渡,55.00㎡,7500
整租·南宜花苑1室0厅南,徐汇,徐家汇,38.33㎡,5600
整租·新长征花苑2室1厅南,普陀,长征,64.00㎡,6500
整租·静安豪景苑2室2厅南,静安,江宁路,136.77㎡,22800
整租·绿色丽园1室1厅南,静安,大宁,55.91㎡,7000
整租·碧海现代苑1室1厅北,浦东,金桥,49.31㎡,6700
整租·曹江公寓3室2厅南,嘉定,江桥,119.19㎡,7800
整租·金谷苑1室0厅西南,长宁,中山公园,42.98㎡,6200
整租·泰府名邸3室2厅南,静安,南京西路,143.24㎡,22300
整租·祥和名邸(别墅)5室2厅南,普陀,长征,198.67㎡,25000
整租·远中风华园(公寓)2室2厅南,静安,南京西路,128.44㎡,26800
整租·东方悦耀1室0厅西南/西,浦东,杨思前滩,50.77㎡,8300
整租·东荷小区2室1厅南,浦东,金桥,73.64㎡,7500
整租·新凯城锦昌苑2室1厅南,松江,泗泾,68.44㎡,3800
整租·潍坊四村2室1厅南,浦东,潍坊,63.00㎡,8500
整租·润江花苑2室1厅南/北,松江,泗泾,68.00㎡,4300
整租·车站新村(普陀)2室1厅南,普陀,真如,70.48㎡,6200
整租·静安新城三区2室1厅南,闵行,静安新城,70.55㎡,7200
整租·浦发御园3室2厅南/北,浦东,三林,100.00㎡,9500
整租·陆家嘴锦绣里3室2厅南,浦东,北蔡,114.34㎡,9000
整租·徐泾北城欣沁苑中区1室1厅南,青浦,华新,53.38㎡,2300
整租·凌虹苑1室1厅南,浦东,三林,63.00㎡,8000
整租·虹旭小区1室0厅南,长宁,虹桥,33.44㎡,4500
整租·宝林九村1室1厅南,宝山,淞宝,58.69㎡,4100
整租·七宝老街1室0厅南,闵行,七宝,30.12㎡,6300
整租·万科翡翠滨江（二期）2室2厅南/西南,浦东,洋泾,114.00㎡,25000
整租·昆阳小区1室1厅南/北,闵行,老闵行,34.83㎡,3000
整租·新城旭辉府2室1厅南,金山,金山,77.00㎡,2800
整租·泰安馨苑B区2室1厅南,青浦,朱家角,73.04㎡,2400
标题,区名,小区/位置,square,price
整租·莲花公寓(闵行)2室1厅南,闵行,古美,87.27㎡,7600
整租·郁庭峰3室2厅南,长宁,北新泾,113.04㎡,11800
整租·上海春城3室2厅南/西北,闵行,春申,121.06㎡,8250
整租·南阳小区2室1厅南,静安,南京西路,72.30㎡,11000
整租·景峰苑2室1厅南,静安,阳城,50.80㎡,5800
整租·金竹园3室1厅南,闵行,颛桥,119.31㎡,6800
整租·盛世联弈苑2室2厅南,浦东,川沙,82.32㎡,3700
整租·盛源家豪城2室2厅南,静安,大宁,106.38㎡,13800
整租·淞虹公寓3室1厅南/北,长宁,北新泾,101.88㎡,9900
整租·绿城上海御园5室2厅复式南,浦东,高行,304.81㎡,30000
整租·凤城二村1室0厅南,杨浦,控江路,32.71㎡,4000
整租·乐业一村2室1厅南,宝山,月浦,57.39㎡,2700
整租·中福浦江汇1室2厅东南,黄浦,蓬莱公园,54.68㎡,9000
整租·中科大学村4室2厅复式南/北,浦东,康桥,405.96㎡,36000
整租·胶南小区1室1厅南,浦东,南码头,34.06㎡,4700
整租·中大九里德(别墅)4室2厅复式南,松江,九亭,188.83㎡,25000
整租·长海坊3室1厅南,徐汇,康健,67.91㎡,8500
整租·罗阳四村2室1厅南,闵行,梅陇,51.99㎡,5000
整租·巴黎之春3室2厅南/北,普陀,万里,127.17㎡,11200
整租·梅园三街坊1室1厅南,浦东,梅园,37.64㎡,7800
整租·新弘国际城(公寓)3室2厅南/北,松江,莘闵别墅,89.65㎡,5400
整租·云台一小区1室1厅南/北,浦东,世博,41.36㎡,4500
整租·南新四村2室1厅南/北,浦东,北蔡,55.87㎡,5200
整租·幸福小镇2室2厅南,浦东,高行,74.55㎡,6000
整租·绿梅一村2室1厅南,闵行,莘庄,47.99㎡,4350
整租·龙南三四村1室1厅南,徐汇,龙华,43.08㎡,4300
整租·东靖苑2室2厅南,浦东,高行,82.58㎡,5600
整租·莲花河畔景苑2室2厅南,闵行,梅陇,103.01㎡,8800
整租·财富海景花园4室2厅南/西南/西,浦东,陆家嘴,327.38㎡,58000
整租·汇锦城三期2室2厅南,浦东,新场,84.28㎡,3550
标题,区名,小区/位置,square,price
整租·宛南六村1室0厅南,徐汇,龙华,29.05㎡,5000
整租·龙华小区2室0厅南,黄浦,世博滨江,47.94㎡,7500
整租·西郊华城4室2厅复式南,青浦,徐泾,266.15㎡,30000
整租·阳二小区2室1厅南,浦东,洋泾,76.04㎡,7500
整租·东方庭院(别墅)6室1厅复式南/北,青浦,朱家角,276.11㎡,25500
整租·证大家园(三期)2室2厅南/北,浦东,高行,97.00㎡,7800
整租·南京西路公馆1室1厅南,静安,静安寺,53.71㎡,11000
整租·英庭名墅3室2厅南,青浦,徐泾,180.71㎡,10000
整租·VIP大厦2室2厅西南,浦东,梅园,115.00㎡,13500
整租·徐汇新城(公寓)2室2厅东/南,徐汇,长桥,90.53㎡,8700
整租·万科阳光苑3室2厅南/北,闵行,吴泾,130.95㎡,8000
整租·虹桥美爵酒店1室1厅南,长宁,仙霞,55.00㎡,12000
整租·东航小区1室1厅南/北,徐汇,龙华,34.56㎡,5500
整租·同润金色橘苑3室2厅南/北,浦东,万祥镇,88.00㎡,1100
整租·绿地峰汇2室1厅北,浦东,惠南,50.16㎡,2500
整租·滴水湖馨苑二期3室2厅南/北,浦东,临港新城,123.05㎡,4500
整租·凌云壹街坊5室2厅南,徐汇,华东理工,99.56㎡,15500
整租·万科清林径3室1厅南,浦东,新场,93.80㎡,3900
整租·华润置地幸福里3室1厅南/北,奉贤,西渡,96.17㎡,4800
整租·安乐坊1室1厅南,静安,南京西路,11.50㎡,4500
整租·绿地香溢2室2厅南,奉贤,海湾,69.79㎡,2000
整租·绿地东海岸财富广场1室1厅南,金山,金山,68.00㎡,1600
整租·万科假日风景(公寓)4室2厅南,闵行,莘庄,141.93㎡,9800
整租·锦绣逸庭(公寓)2室2厅东南/南,青浦,徐泾,88.37㎡,7000
整租·保利象屿公园悦府2室1厅南,奉贤,南桥,70.53㎡,2000
整租·天平3号小区1室1厅南,徐汇,建国西路,22.00㎡,5000
整租·瑞虹新城铭庭3室2厅南,虹口,临平路,144.00㎡,22000
整租·佘山银湖别墅4室3厅复式南,松江,泗泾,296.36㎡,35000
整租·观庭3室2厅复式南,青浦,徐泾,201.82㎡,25000
整租·中芯花园18弄3室2厅南,浦东,张江,121.43㎡,9990
标题,区名,小区/位置,square,price
整租·新泾七村1室0厅南,长宁,北新泾,33.80㎡,4500
整租·欣佳宝邸(北区)3室2厅南,闵行,闵浦,97.76㎡,3700
整租·岳阳路77弄1室1厅南,徐汇,建国西路,35.03㎡,7800
整租·世纪之门2室1厅东南/南,普陀,长寿路,78.47㎡,9300
整租·蓝堡别墅6室2厅南,浦东,川沙,373.28㎡,43000
整租·井晓公馆2室1厅南,宝山,顾村,65.00㎡,3800
整租·金外滩花园3室2厅南,黄浦,黄浦滨江,161.84㎡,28000
整租·申峰大厦1室1厅南,徐汇,徐家汇,62.96㎡,8000
整租·招商中环华府3室2厅南,宝山,大场镇,100.30㎡,8300
整租·绿地长兴家园3室1厅南,崇明,长兴岛,108.00㎡,1800
整租·连城新苑3室2厅南,浦东,高行,93.48㎡,7000
整租·地产尚海郦景3室2厅南/北,浦东,梅园,137.62㎡,30000
整租·中天碧云3室2厅南,浦东,碧云,133.18㎡,18000
整租·福都广场锋尚992室1厅南,松江,松江新城,40.00㎡,3300
整租·信达郡庭4室2厅南,宝山,罗店,342.32㎡,24800
整租·南长苑2室1厅南/北,静安,曹家渡,43.96㎡,8500
整租·双辽支路70弄1室0厅南,杨浦,鞍山,32.23㎡,4500
整租·华发招商依云四季2室2厅南/北,金山,金山,78.00㎡,1300
整租·张江三湘海尚3室2厅南/北,浦东,张江,135.60㎡,15000
整租·宛平南路240弄1室2厅南,徐汇,徐家汇,50.36㎡,9200
整租·塘泾北苑2室2厅南,闵行,吴泾,87.55㎡,4400
整租·盛大花园3室2厅南,徐汇,龙华,136.27㎡,18500
整租·愚园路1050弄1室1厅南,长宁,中山公园,35.00㎡,6800
整租·领尚国际酒店公寓1室1厅南,长宁,古北,51.98㎡,7250
整租·四季晶园3室2厅南/北,长宁,古北,137.74㎡,25000
整租·金桥瑞仕花园5室3厅南/北,浦东,金杨,387.06㎡,48000
整租·松南城嘉泽里2室1厅南,松江,车墩,79.70㎡,1500
整租·花苑村桂花园2室1厅南,徐汇,康健,60.00㎡,6500
整租·佳宁花园4室2厅南,静安,大宁,206.17㎡,19500
整租·金桥新村一街坊2室1厅南,浦东,金桥,69.38㎡,5500
标题,区名,小区/位置,square,price
